time x1 y1 x2 y2
1.360999999999999988e+00 2.928696976210538039e-01 -2.724469493596001768e-01 6.716953532383094227e-01 -1.440291832750103251e-01
1.362000000000000099e+00 2.896594058251387716e-01 -2.758576238153072624e-01 6.656622359003975253e-01 -1.393956445852077841e-01
1.362999999999999989e+00 2.860480029202970287e-01 -2.796006795866379235e-01 6.588057534068794130e-01 -1.345087795639876571e-01
1.364000000000000101e+00 2.819523736420367910e-01 -2.837302574587723947e-01 6.509550037426701241e-01 -1.293377091320632444e-01
1.364999999999999991e+00 2.772648455829611058e-01 -2.883126868590016323e-01 6.418891629485079520e-01 -1.238465590827660390e-01
1.366000000000000103e+00 2.718439664309321713e-01 -2.934294769021991711e-01 6.313190400089101484e-01 -1.179938149742223441e-01
1.366999999999999993e+00 2.655013099473125804e-01 -2.991806384381534012e-01 6.188608724628595903e-01 -1.117319265758916491e-01
1.368000000000000105e+00 2.579826957196677539e-01 -3.056876325748448253e-01 6.039993488194110860e-01 -1.050075992440425154e-01
1.368999999999999995e+00 2.489421062867988310e-01 -3.130939598866324114e-01 5.860368340285245781e-01 -9.776364495459172188e-02
1.370000000000000107e+00 2.379078346164211488e-01 -3.215584895911249852e-01 5.640285693779617526e-01 -8.994401172198801531e-02
1.370999999999999996e+00 2.242459617387441984e-01 -3.312306577656508044e-01 5.367150253582833042e-01 -8.150463933599563782e-02
1.372000000000000108e+00 2.071427560503417975e-01 -3.421869059678768754e-01 5.024951222447469057e-01 -7.243335217596480469e-02
1.372999999999999998e+00 1.856632192104837598e-01 -3.543009582719187089e-01 4.595520158036410230e-01 -6.277921448468054555e-02
1.374000000000000110e+00 1.589828269076049849e-01 -3.670483084669735052e-01 4.063136298847390693e-01 -5.267993553692490449e-02
1.375000000000000000e+00 1.268308047446213560e-01 -3.793599174502121363e-01 3.423028634262545999e-01 -4.235577515000421567e-02
1.376000000000000112e+00 8.988840226495642405e-02 -3.897692588420146320e-01 2.688612312527380865e-01 -3.204209117912898419e-02
1.377000000000000002e+00 4.965219722170566286e-02 -3.969063608851045588e-01 1.888218435849265686e-01 -2.189728162016724156e-02
1.378000000000000114e+00 7.758775521127986990e-03 -3.999247446738107836e-01 1.051835168424579275e-01 -1.197059818421342126e-02
1.379000000000000004e+00 -3.456949318241780977e-02 -3.985033878665409368e-01 2.006611033794084703e-02 -2.252266949557046871e-03
1.380000000000000115e+00 -7.654991264136745688e-02 -3.926068146054001451e-01 -6.530379155309552763e-02 7.235060090670097921e-03
1.381000000000000005e+00 -1.175102120781591347e-01 -3.823497744962667810e-01 -1.499139684392116201e-01 1.633556079171893938e-02
1.382000000000000117e+00 -1.565187990738273471e-01 -3.681057803627740821e-01 -2.321638075261649448e-01 2.467638916156389417e-02
1.383000000000000007e+00 -1.922559631006921232e-01 -3.507672228875231557e-01 -3.094674001878751635e-01 3.167424847241884223e-02
1.384000000000000119e+00 -2.233508972237439605e-01 -3.318348636134373919e-01 -3.787977974462806152e-01 3.672484825318100832e-02
1.385000000000000009e+00 -2.490134614345868025e-01 -3.130372118844109153e-01 -4.380156793433781504e-01 3.949386706545665593e-02
1.386000000000000121e+00 -2.693480456895153696e-01 -2.957222181088846602e-01 -4.867616755287387798e-01 4.003262334561047409e-02
1.387000000000000011e+00 -2.850961163781490226e-01 -2.805712109716478331e-01 -5.261496467303523605e-01 3.863592476428684419e-02
1.388000000000000123e+00 -2.971909014757596057e-01 -2.677266667331167360e-01 -5.578882476067531515e-01 3.564916242975013638e-02
1.389000000000000012e+00 -3.064772509602939343e-01 -2.570441492114166615e-01 -5.836342737958921667e-01 3.137218994589890952e-02
